"tag","category","context"
"code","inline","<code>This is inside the <code> tag.</code>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"video","media","<video>This is inside the <video> tag.</video>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"th","table","<th>This is inside the <th> tag.</th>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"object","media","<object>This is inside the <object> tag.</object>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"code","inline","<code>This is inside the <code> tag.</code>"
"input","form","<input>"
"form","form","<form>This is inside the <form> tag.</form>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"code","inline","<code>This is inside the <code> tag.</code>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"table","table","<table>This is inside the <table> tag.</table>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"object","media","<object>This is inside the <object> tag.</object>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"code","inline","<code>This is inside the <code> tag.</code>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"button","form","<button type=""submit"" class=""btn btn-primary"">This is inside the <button> tag.</button>"
"label","form","<label>This is inside the <label> tag.</label>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"track","media","<track>This is inside the <track> tag.</track>"
"template","scripting","<template>This is inside the <template> tag.</template>"
"select","form","<select>This is inside the <select> tag.</select>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"input","form","<input type=""text"" placeholder=""Enter text"">"
"input","form","<input>"
"meta","metadata","<meta charset=""UTF-8"" name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"source","media","<source>This is inside the <source> tag.</source>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"th","table","<th>This is inside the <th> tag.</th>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"img","inline","<img src=""image.jpg"" width=""500"">"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"option","form","<option>This is inside the <option> tag.</option>"
"em","inline","<em>This is inside the <em> tag.</em>"
"source","media","<source>This is inside the <source> tag.</source>"
"track","media","<track>This is inside the <track> tag.</track>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"track","media","<track>This is inside the <track> tag.</track>"
"input","form","<input required>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"select","form","<select>This is inside the <select> tag.</select>"
"video","media","<video>This is inside the <video> tag.</video>"
"li","list","<li>This is inside the <li> tag.</li>"
"link","metadata","<link href=""styles.css"" rel=""stylesheet"">"
"button","form","<button class=""btn btn-primary"">This is inside the <button> tag.</button>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"option","form","<option>This is inside the <option> tag.</option>"
"br","inline","<br>"
"button","form","<button disabled>This is inside the <button> tag.</button>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"col","table","<col>This is inside the <col> tag.</col>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"meta","metadata","<meta charset=""UTF-8"">"
"option","form","<option>This is inside the <option> tag.</option>"
"br","inline","<br>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"code","inline","<code>This is inside the <code> tag.</code>"
"th","table","<th>This is inside the <th> tag.</th>"
"code","inline","<code>This is inside the <code> tag.</code>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"label","form","<label>This is inside the <label> tag.</label>"
"li","list","<li>This is inside the <li> tag.</li>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"form","form","<form method=""post"">This is inside the <form> tag.</form>"
"li","list","<li>This is inside the <li> tag.</li>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"col","table","<col>This is inside the <col> tag.</col>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"img","inline","<img>"
"track","media","<track>This is inside the <track> tag.</track>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"link","metadata","<link rel=""stylesheet"">"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"li","list","<li>This is inside the <li> tag.</li>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"source","media","<source>This is inside the <source> tag.</source>"
"td","table","<td>This is inside the <td> tag.</td>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"th","table","<th>This is inside the <th> tag.</th>"
"video","media","<video>This is inside the <video> tag.</video>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"source","media","<source>This is inside the <source> tag.</source>"
"object","media","<object>This is inside the <object> tag.</object>"
"h2","text_content","<h2>This is inside the <h2> tag.</h2>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"video","media","<video>This is inside the <video> tag.</video>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"input","form","<input type=""text"" required>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"button","form","<button>This is inside the <button> tag.</button>"
"th","table","<th>This is inside the <th> tag.</th>"
"table","table","<table>This is inside the <table> tag.</table>"
"select","form","<select>This is inside the <select> tag.</select>"
"label","form","<label>This is inside the <label> tag.</label>"
"input","form","<input type=""text"" placeholder=""Enter text"">"
"table","table","<table>This is inside the <table> tag.</table>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"label","form","<label>This is inside the <label> tag.</label>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"em","inline","<em>This is inside the <em> tag.</em>"
"select","form","<select>This is inside the <select> tag.</select>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"table","table","<table>This is inside the <table> tag.</table>"
"option","form","<option>This is inside the <option> tag.</option>"
"option","form","<option>This is inside the <option> tag.</option>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"select","form","<select>This is inside the <select> tag.</select>"
"th","table","<th>This is inside the <th> tag.</th>"
"td","table","<td>This is inside the <td> tag.</td>"
"script","scripting","<script src=""app.js"">This is inside the <script> tag.</script>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"label","form","<label>This is inside the <label> tag.</label>"
"code","inline","<code>This is inside the <code> tag.</code>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"col","table","<col>This is inside the <col> tag.</col>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"link","metadata","<link rel=""stylesheet"">"
"object","media","<object>This is inside the <object> tag.</object>"
"em","inline","<em>This is inside the <em> tag.</em>"
"img","inline","<img src=""image.jpg"" width=""500"">"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"table","table","<table>This is inside the <table> tag.</table>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"track","media","<track>This is inside the <track> tag.</track>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"source","media","<source>This is inside the <source> tag.</source>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"form","form","<form enctype=""multipart/form-data"" action=""/submit"">This is inside the <form> tag.</form>"
"code","inline","<code>This is inside the <code> tag.</code>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"li","list","<li>This is inside the <li> tag.</li>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"select","form","<select>This is inside the <select> tag.</select>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"input","form","<input>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"img","inline","<img>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"link","metadata","<link rel=""stylesheet"">"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"input","form","<input type=""text"">"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"slot","scripting","<slot>This is inside the <slot> tag.</slot>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"footer","sectioning","<footer>This is inside the <footer> tag.</footer>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"td","table","<td>This is inside the <td> tag.</td>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"table","table","<table>This is inside the <table> tag.</table>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"br","inline","<br>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"link","metadata","<link>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"track","media","<track>This is inside the <track> tag.</track>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"td","table","<td>This is inside the <td> tag.</td>"
"form","form","<form>This is inside the <form> tag.</form>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"input","form","<input>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"br","inline","<br>"
"button","form","<button class=""btn btn-primary"" type=""submit"">This is inside the <button> tag.</button>"
"link","metadata","<link href=""styles.css"">"
"img","inline","<img width=""500"" alt=""image description"">"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"object","media","<object>This is inside the <object> tag.</object>"
"img","inline","<img src=""image.jpg"">"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"link","metadata","<link rel=""stylesheet"" href=""styles.css"">"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"button","form","<button class=""btn btn-primary"">This is inside the <button> tag.</button>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"code","inline","<code>This is inside the <code> tag.</code>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"tfoot","table","<tfoot>This is inside the <tfoot> tag.</tfoot>"
"li","list","<li>This is inside the <li> tag.</li>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"link","metadata","<link>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"select","form","<select>This is inside the <select> tag.</select>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"track","media","<track>This is inside the <track> tag.</track>"
"object","media","<object>This is inside the <object> tag.</object>"
"option","form","<option>This is inside the <option> tag.</option>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"form","form","<form method=""post"">This is inside the <form> tag.</form>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"button","form","<button type=""submit"" disabled>This is inside the <button> tag.</button>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"mark","inline","<mark>This is inside the <mark> tag.</mark>"
"form","form","<form>This is inside the <form> tag.</form>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"input","form","<input type=""text"" placeholder=""Enter text"">"
"link","metadata","<link rel=""stylesheet"">"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"caption","table","<caption>This is inside the <caption> tag.</caption>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"form","form","<form>This is inside the <form> tag.</form>"
"script","scripting","<script>This is inside the <script> tag.</script>"
"video","media","<video>This is inside the <video> tag.</video>"
"track","media","<track>This is inside the <track> tag.</track>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"form","form","<form method=""post"" action=""/submit"">This is inside the <form> tag.</form>"
"textarea","form","<textarea>This is inside the <textarea> tag.</textarea>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"th","table","<th>This is inside the <th> tag.</th>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"tr","table","<tr>This is inside the <tr> tag.</tr>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"ul","list","<ul>This is inside the <ul> tag.</ul>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"meta","metadata","<meta charset=""UTF-8"" name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"form","form","<form enctype=""multipart/form-data"" action=""/submit"">This is inside the <form> tag.</form>"
"form","form","<form>This is inside the <form> tag.</form>"
"abbr","inline","<abbr>This is inside the <abbr> tag.</abbr>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"label","form","<label>This is inside the <label> tag.</label>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"ol","list","<ol>This is inside the <ol> tag.</ol>"
"img","inline","<img width=""500"" alt=""image description"">"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"blockquote","text_content","<blockquote>This is inside the <blockquote> tag.</blockquote>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">"
"em","inline","<em>This is inside the <em> tag.</em>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
"dd","list","<dd>This is inside the <dd> tag.</dd>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"meta","metadata","<meta>"
"code","inline","<code>This is inside the <code> tag.</code>"
"select","form","<select>This is inside the <select> tag.</select>"
"fieldset","form","<fieldset>This is inside the <fieldset> tag.</fieldset>"
"option","form","<option>This is inside the <option> tag.</option>"
"title","metadata","<title>This is inside the <title> tag.</title>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"nav","sectioning","<nav>This is inside the <nav> tag.</nav>"
"track","media","<track>This is inside the <track> tag.</track>"
"aside","sectioning","<aside>This is inside the <aside> tag.</aside>"
"td","table","<td>This is inside the <td> tag.</td>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"option","form","<option>This is inside the <option> tag.</option>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"h5","text_content","<h5>This is inside the <h5> tag.</h5>"
"img","inline","<img src=""image.jpg"">"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"form","form","<form>This is inside the <form> tag.</form>"
"strong","inline","<strong>This is inside the <strong> tag.</strong>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"track","media","<track>This is inside the <track> tag.</track>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"dt","list","<dt>This is inside the <dt> tag.</dt>"
"cite","inline","<cite>This is inside the <cite> tag.</cite>"
"tbody","table","<tbody>This is inside the <tbody> tag.</tbody>"
"section","sectioning","<section>This is inside the <section> tag.</section>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"col","table","<col>This is inside the <col> tag.</col>"
"h6","text_content","<h6>This is inside the <h6> tag.</h6>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"thead","table","<thead>This is inside the <thead> tag.</thead>"
"table","table","<table>This is inside the <table> tag.</table>"
"object","media","<object>This is inside the <object> tag.</object>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"button","form","<button class=""btn btn-primary"">This is inside the <button> tag.</button>"
"audio","media","<audio>This is inside the <audio> tag.</audio>"
"embed","media","<embed>This is inside the <embed> tag.</embed>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"object","media","<object>This is inside the <object> tag.</object>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"colgroup","table","<colgroup>This is inside the <colgroup> tag.</colgroup>"
"main","sectioning","<main>This is inside the <main> tag.</main>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"meta","metadata","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" charset=""UTF-8"">"
"option","form","<option>This is inside the <option> tag.</option>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"button","form","<button>This is inside the <button> tag.</button>"
"select","form","<select>This is inside the <select> tag.</select>"
"dl","list","<dl>This is inside the <dl> tag.</dl>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"base","metadata","<base>This is inside the <base> tag.</base>"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"p","text_content","<p>This is inside the <p> tag.</p>"
"video","media","<video>This is inside the <video> tag.</video>"
"th","table","<th>This is inside the <th> tag.</th>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"iframe","media","<iframe>This is inside the <iframe> tag.</iframe>"
"article","sectioning","<article>This is inside the <article> tag.</article>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"span","text_content","<span>This is inside the <span> tag.</span>"
"canvas","scripting","<canvas>This is inside the <canvas> tag.</canvas>"
"li","list","<li>This is inside the <li> tag.</li>"
"img","inline","<img alt=""image description"" width=""500"">"
"noscript","scripting","<noscript>This is inside the <noscript> tag.</noscript>"
"h1","text_content","<h1>This is inside the <h1> tag.</h1>"
"option","form","<option>This is inside the <option> tag.</option>"
"link","metadata","<link rel=""stylesheet"">"
"pre","text_content","<pre>This is inside the <pre> tag.</pre>"
"h3","text_content","<h3>This is inside the <h3> tag.</h3>"
"header","sectioning","<header>This is inside the <header> tag.</header>"
"style","metadata","<style>This is inside the <style> tag.</style>"
"legend","form","<legend>This is inside the <legend> tag.</legend>"
